,Date,Price,Open,High,Low,Vol.,Change %,day_of_year,score
0,2024-06-16,"66,132.2","66,223.0","66,259.3","66,071.1",21.31K,-0.14%,168,0.2420483490769096
1,2024-06-15,"66,223.0","66,034.1","66,446.4","65,895.1",24.05K,0.29%,167,0.3106724405897856
2,2024-06-14,"66,034.8","66,775.2","67,347.7","65,076.5",65.18K,-1.11%,166,0.2663491999738145
3,2024-06-13,"66,773.1","68,260.6","68,384.6","66,324.3",66.36K,-2.18%,165,0.3204528820875532
4,2024-06-12,"68,260.1","67,320.9","69,990.8","66,911.5",85.55K,1.40%,164,0.2346742408640354
5,2024-06-11,"67,319.8","69,537.9","69,573.3","66,197.8",96.70K,-3.19%,163,0.2475958287635722
6,2024-06-10,"69,538.2","69,650.2","70,152.5","69,259.9",39.12K,-0.16%,162,0.19917975777172
7,2024-06-09,"69,650.6","69,310.5","69,847.8","69,136.7",20.99K,0.49%,161,0.24846991979221
8,2024-06-08,"69,310.1","69,347.0","69,572.1","69,222.4",23.03K,-0.05%,160,0.2657025114018929
9,2024-06-07,"69,347.9","70,793.4","71,956.5","68,620.7",82.62K,-2.04%,159,0.2060417183005696
10,2024-06-06,"70,791.5","71,083.6","71,616.1","70,178.7",49.79K,-0.41%,158,0.2431650718136258
11,2024-06-05,"71,083.7","70,550.9","71,744.4","70,397.1",67.06K,0.76%,157,0.251304995913501
12,2024-06-04,"70,549.2","68,808.0","71,034.2","68,564.3",75.69K,2.53%,156,0.2601349997927051
13,2024-06-03,"68,807.8","67,763.3","70,131.0","67,616.8",69.42K,1.53%,155,0.3047470910806458
14,2024-06-02,"67,773.5","67,760.8","68,447.5","67,330.6",30.63K,0.02%,154,0.2748699463834991
15,2024-06-01,"67,760.8","67,533.9","67,861.0","67,449.6",19.01K,0.34%,153,0.2397134346394895
16,2024-05-31,"67,530.1","68,352.3","69,018.2","66,676.8",61.51K,-1.21%,152,0.2278903829070582
17,2024-05-30,"68,354.7","67,631.3","69,504.7","67,138.4",66.84K,1.06%,151,0.2720907237600254
18,2024-05-29,"67,635.8","68,366.2","68,897.6","67,143.2",52.13K,-1.07%,150,0.2062412556683153
19,2024-05-28,"68,366.0","69,428.3","69,560.7","67,299.9",71.39K,-1.53%,149,0.1384953284592445
20,2024-05-27,"69,428.7","68,514.6","70,638.3","68,275.2",49.07K,1.33%,148,0.1393377948423795
21,2024-05-26,"68,514.8","69,287.2","69,494.0","68,294.5",24.58K,-1.11%,147,0.1538984770741935
22,2024-05-25,"69,284.4","68,548.2","69,558.8","68,516.1",25.17K,1.07%,146,0.1671995164979631
23,2024-05-24,"68,547.6","67,971.1","69,212.0","66,685.8",63.28K,0.84%,145,0.1397702134791985
24,2024-05-23,"67,975.7","69,166.3","70,041.0","66,578.1",89.45K,-1.71%,144,0.1709669860461753
25,2024-05-22,"69,155.4","70,141.0","70,593.4","69,024.3",65.08K,-1.40%,143,0.1447700350467722
26,2024-05-21,"70,139.9","71,430.5","71,872.0","69,181.7",108.56K,-1.80%,142,0.1408232959907822
27,2024-05-20,"71,422.7","66,278.3","71,482.8","66,076.5",112.66K,7.76%,141,0.1946912761487029
28,2024-05-19,"66,279.1","66,919.0","67,662.5","65,937.3",36.19K,-0.95%,140,0.2359617493682153
29,2024-05-18,"66,917.5","67,036.6","67,361.4","66,636.1",29.68K,-0.18%,139,0.2546404243840541
30,2024-05-17,"67,036.8","65,231.1","67,420.7","65,121.7",63.09K,2.77%,138,0.2406651222208633
31,2024-05-16,"65,231.0","66,219.6","66,643.9","64,623.3",72.55K,-1.50%,137,0.2309124074628727
32,2024-05-15,"66,225.1","61,569.4","66,417.1","61,357.5",106.05K,7.56%,136,0.2639719838960308
33,2024-05-14,"61,569.4","62,936.8","63,102.6","61,156.9",68.84K,-2.17%,135,0.249384221413579
